บ้านตาหลง	บ้านตาโงง	False	7013455	7013458	THAI	THAI	TH	TH
Viler-su-Eutie	Villers-sur-Authie	True	2968332	2968332	LATIN	LATIN	FR	FR
nan men	yang gang	False	7756962	7756963	LATIN	LATIN	CN	CN
khlxng na cheiyw	คลองน้ำเชี่ยว	True	1611177	1611177	LATIN	THAI	TH	TH
Zvjagino	Georgiyevskoye	False	7588183	7588185	LATIN	LATIN	RU	RU
Shenjiayu	沈家峪	True	8135415	8135415	LATIN	CJK	CN	CN
Algan	Écueil de l’Algajola	False	3038206	3038207	LATIN	LATIN	FR	FR
Ḩafarah	Afarah	True	292036	292036	LATIN	LATIN	AE	AE
Gunbad-e Bālā	Darya-i-Tāloqān	False	1467686	1467687	LATIN	LATIN	AF	AF
Moie	Lalau Island	True	2105651	2105651	LATIN	LATIN	SB	SB
Suối Giai	Núi Giai	False	1581900	1581903	LATIN	LATIN	VN	VN
Tall al Makhkhāḑ	Tell el Makh-Khâd	True	353023	353023	LATIN	LATIN	EG	EG
Tutunluk	Tötön	False	298705	298707	LATIN	LATIN	TR	TR
khlf alhsn	خلف الحسن	True	6871838	6871838	LATIN	ARABIC	IQ	IQ
ئامێدى	Al ‘Alwīyah	False	99612	99615	ARABIC	LATIN	IQ	IQ
liang tai shang	Liangtaishang	True	10028471	10028471	LATIN	LATIN	CN	CN
asumo qian yi	nagayamaeki	False	7557810	7557811	LATIN	LATIN	JP	JP
Воллопс	Vollops	True	4792008	4792008	CYRILLIC	LATIN	US	US
Shari` Bu Nisan	Bāb al Qiblah Street	False	10349109	10349110	LATIN	LATIN	IQ	IQ
Hasun 'Awiti	Hasūn ‘Awītī	True	95929	95929	LATIN	LATIN	IQ	IQ
Buwange	Bukomansimbe	False	234168	234371	LATIN	LATIN	UG	UG
Tall an Na`urah	Tell el Guine	True	165843	165843	LATIN	LATIN	SY	SY
K'ung-chi	Caopoji	False	1895050	1895058	LATIN	LATIN	CN	CN
Xiaomiaowan	xiao miao wan	True	8525398	8525398	LATIN	LATIN	CN	CN
Loupoundjé	Loupi	False	2229131	2229132	LATIN	LATIN	CM	CM
cheongdong-gol	Ch’ŏngdong-gol	True	6887697	6887697	LATIN	LATIN	KR	KR
Xitou	黄龙溪	False	1983822	1983823	LATIN	CJK	CN	CN
Гущата	Gushchata	True	557838	557838	CYRILLIC	LATIN	RU	RU
Khashm Ahmad Namu	‘Izbat Aḩmad Muşţafá	False	361742	361743	LATIN	LATIN	EG	EG
Tongzui	tong ju	True	8569987	8569987	LATIN	LATIN	CN	CN
Selishte	Seliste	False	617446	617447	LATIN	LATIN	MD	MD
大苗蒋	da miao jiang	True	9121938	9121938	CJK	LATIN	CN	CN
高田東	南加瀬	False	10862248	10862249	CJK	CJK	JP	JP
sitsu gu	四ツ谷	True	10427408	10427408	LATIN	CJK	JP	JP
Chúcaro	El Chonco	False	3620366	3620370	LATIN	LATIN	NI	NI
Urochishche Kochevo	Урочище Кочево	True	8061795	8061795	LATIN	CYRILLIC	RU	RU
Demyakhi	Dëmushkino	False	566650	566651	LATIN	LATIN	RU	RU
朗迁弄	lang qian nong	True	10271767	10271767	CJK	LATIN	CN	CN
Wangshun Goucun	Shenshancun	False	10313621	10313622	LATIN	LATIN	CN	CN
Yukarihacibekir	Yokarıhacıbekir Yaylası	True	296397	296397	LATIN	LATIN	TR	TR
Sokutaş	Söküçayırı Köy	False	739400	739402	LATIN	LATIN	TR	TR
Muhanga	Akarere ka Muhanga	True	7690214	7690214	LATIN	LATIN	RW	RW
Caskilgohppi	Halkokuoppa	False	9607257	9607258	LATIN	LATIN	NO	NO
Preas	Prek Prea	True	1822693	1822693	LATIN	LATIN	KH	KH
Malyj Kolyshlej	Крюковка	False	6315219	6315220	LATIN	CYRILLIC	RU	RU
大山坡	da shan po	True	10185645	10185645	CJK	LATIN	CN	CN
Wadi Zamur	‘Ain ez Zam‘ah	False	281257	281259	LATIN	LATIN	PS	PS
withyalay sarphadchang siphraya	Witthayalai Saraphatchang Si Phaya	True	6909101	6909101	LATIN	LATIN	TH	TH
Jivi	Al Jibal	False	289209	289212	LATIN	LATIN	OM	OM
T'eng-ko-li-o-li-ssu	T’eng-ko-li-o-li-ssu	True	1793046	1793046	LATIN	LATIN	CN	CN
Старогумирово	Star.Grjaznoe	False	488827	488828	CYRILLIC	LATIN	RU	RU
Al Ajlal	Qur al Ajlal	True	110186	110186	LATIN	LATIN	SA	SA
潘家庙	kai yuan	False	6863173	6863174	CJK	LATIN	CN	CN
